date,n_components,weighted_mean,weighted_median,pearson_skew,bowley_skew,boc_trim,boc_median,boc_spread
2006-04-01,59,1.816867457482536,2.24792569467521,-0.24570947660865775,-0.21318430048742693,1.7,1.9,-0.19999999999999996
2006-05-01,59,2.259981356298351,2.336448598130847,0.3110836049590431,-0.0420627096204606,1.9,2.0,-0.10000000000000009
2006-06-01,59,1.7536910557379877,1.7251823787461924,-0.09431318477949995,-0.12460665306184893,1.7,1.9,-0.19999999999999996
2006-07-01,59,1.478090414445483,1.9909844643000902,-0.31406759166013576,-0.29081703142234694,2.0,2.0,0.0
2006-08-01,59,1.4160321434065168,1.5752465432245923,-0.3567159073915563,-0.12871029725185726,2.2,2.0,0.20000000000000018
2006-09-01,59,1.2414259414111635,1.7968523565021026,-0.533236889322665,-0.23881159699886145,2.3,2.1,0.19999999999999973
2006-10-01,59,1.3908186293909386,2.1577592687449996,-1.0672005902228945,-0.3165487579369372,2.4,2.1,0.2999999999999998
2006-11-01,59,1.381838944553395,1.8040207023882853,-1.343120686674221,0.0650417517481882,2.5,2.2,0.2999999999999998
2006-12-01,59,1.4305541127164154,1.647836013984191,-0.4952942264664579,-0.15370798237708921,2.5,2.2,0.2999999999999998
2007-01-01,59,1.157960288313298,1.5135445152704239,-2.066471757983631,0.1808397064707078,2.5,2.2,0.2999999999999998
2007-02-01,59,1.8030064670305739,2.630703896085934,-1.8738627392235763,-0.13979836472322887,2.8,2.5,0.2999999999999998
2007-03-01,59,1.817008465385378,2.552384842105123,-1.3750844556335133,-0.24860840624921085,2.8,2.4,0.3999999999999999
2007-04-01,59,2.1090076437599734,2.1666069231353453,-0.7526675623135284,0.26555575822372923,2.8,2.5,0.2999999999999998
2007-05-01,59,1.4278833052933428,2.0014449023735175,-0.9159286559681098,-0.14717114902048897,2.8,2.5,0.2999999999999998
2007-06-01,59,1.6562466522794501,1.910311859940762,-0.8835684164559257,0.11800827628135736,2.9,2.7,0.19999999999999973
2007-07-01,59,1.8024421057204005,2.1855706697430364,-0.5173785761627459,-0.1730870555124664,2.7,2.5,0.20000000000000018
2007-08-01,59,1.606210307352339,1.712811512811515,-0.3364559580990188,0.03321886511978211,2.5,2.5,0.0
2007-09-01,59,1.4027363775003112,1.700344801863388,-0.2910105752709121,-0.10231983479941742,2.5,2.7,-0.20000000000000018
2007-10-01,59,1.503243599372151,1.7102593951394183,-0.0936591221357154,-0.2694376071453173,2.4,2.5,-0.10000000000000009
2007-11-01,59,1.7524127525086437,2.1393944083353698,0.5188051278933862,-0.22725729469923106,2.2,2.3,-0.09999999999999964
2007-12-01,59,1.734530996062071,2.0805578897291963,1.356954176523345,-0.12396927695530376,2.2,2.4,-0.19999999999999973
2008-01-01,59,1.4259268325188772,1.8859178425705576,0.8037908953258516,-0.27690419623569795,2.3,2.6,-0.30000000000000027
2008-02-01,59,1.1374000409197793,1.9310365127783882,0.36477828904828086,-0.35575056165218494,2.2,2.5,-0.2999999999999998
2008-03-01,59,1.1891116062106089,1.5403379240928978,1.207281832333065,-0.3279885251007328,2.0,2.4,-0.3999999999999999
2008-04-01,59,1.4230453845349451,1.8192486393853744,2.0872679500706774,-0.31526088597870067,2.3,2.6,-0.30000000000000027
